NCM,Produto,Qtd refs.,Situação (benefício),Dispositivo legal (RICMS-SP),cBenef sugerido,CST provável,"Existe benefício na lei, mas NÃO se aplica a esta venda",Observação
17049020,BALA SKITTLES ORIGINAL 38G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,BALAS SABORES,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,BRINQUEDO CHOCONFETI PATRULHA CANINA,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,BRINQUEDO POP LITO CRISTAIS UNICORNIO,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,CHICLETE BRINCLETS FRUTAS 18G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,DROPS AZEDINHA MORANGO 29G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,DROPS AZEDINHO UVA 29G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,"DROPS FREEGELLS VIT C FRUTAS CITRICAS 27,9G",1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,DROPS HALLS CEREJA 28G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,"DROPS HALLS EXTRA FORTE 27,5G",2,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,DROPS HALLS MELANCIA 28G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,DROPS HALLS MENTA 28G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,DROPS HALLS MENTOL 28G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,DROPS HALLS MORANGO 28G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,DROPS HALLS UVA VERDE 28G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,DROPS ICEKISS EXTRA FORTE 29G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,MARSHMALLOW FINI CAMPING 80G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,MINI GOMA DOCILE EUCALIPTO 18G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,PASTILHA GAROTO HORTELA 17G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,"PASTILHA TIC TAC FRUTAS COMO TE GUSTA 14,5G",1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,"PASTILHA TIC TAC LARANJA 14,5G",1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,PASTILHA TIC TAC MELAO E LIMA LIMAO T100,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,"PASTILHA TIC TAC MENTA 14,5G",1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,"PASTILHA TIC TAC MENTA FRESH 14,5G.",1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,"PASTILHA TIC TAC TWO MENTA 38,5G",1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,PIRULITO,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,PIRULITO BABY BOTTLE POP 31G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,PIRULITO LOLLIPOP GOURMET SAMS COTTON CANDY 31G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,PIRULITO POP LITO DINO 11G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,PIRULITO POP LITO PRINCESAS MORANGO 11G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049020,PIRULITO PUSH POP SABORES 14G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049090,AMENDOIM AMENDO TIM GLACEADO E TORRADO C/ CHOC 82G,2,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049090,MAT PRIMA RECHEIO BAUNILHA KG,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049090,PACOCA CASEIRA DE AMENDOIM DOCES NOVAES 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049090,PACOCA MORENINHA DO RIO 20G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049090,PACOCA WHEY PROTEIN FIT ACAI 7G PROTEINA,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049090,PACOCA WHEY PROTEIN FIT CHOCOLATE BRANCO 7G PROTEINA,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049090,PE DE MOLEQUE NBONN CROCANTE 35G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
17049090,TORRONE COM AMENDOIM MONTEVERGINE 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18061000,CHOCOLATE EM PO DOIS FRADES NESTLE 200G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18062000,MAT PRIMA BARRA DE CHOC AO LEITE KG,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18062000,MAT PRIMA COB GANACHE KG,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18062000,MAT PRIMA RECH CREME COM AVELA KG,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOC TAB BLOCK DUBAY STYLE PACOCA 165G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE GAROTO BATON CREME RECHEADO 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE GAROTO CHOCANTE RECHEADO 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE GAROTO PE DE MOLEQUE RECHEADO 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,"CHOCOLATE KINDER AO LEITE 12,5G",1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE KINDER T4 50G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE LINDT LINDOR HALZENUT SINGLE 100G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE LINDT LINDOR MILK SINGLE 100G,2,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE NESTLE CHOCO TRIO AO LEITE 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE NESTLE CHOCO TRIO AVELA 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE NESTLE RECHEADO CHARGE 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE NESTLE RECHEADO GALAK 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE NESTLE RECHEADO PRESTIG 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE SNICKERS DARK 42G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE SNICKERS MORANGO 42G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE SNICKERS MOUSSE DE MARACUJA 42G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE SNICKERS ORIGINAL 45G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE SNICKERS PE DE MOLEQUE 42G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,CHOCOLATE STIKADINHO 70G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063110,"CHOCOLATE STIKADINHO MORANGO 12,3G",2,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063120,CHOCOLATE BLOCK DUBAI STYLE PAÇOCA 45G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063120,CHOCOLATE CROCANTE 25G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063120,CHOCOLATE LOLLO 28G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063120,CHOCOLATE NESTLE PRESTIGIO MAXI 90G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063210,CHOCOLATE BATON AO LEITE 16G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063210,CHOCOLATE BATON DUO BRANCO 16G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
18063210,CHOCOLATE BLOCK AO LEITE C AMENDOIM 38G,1,Sem benefício identificado (tributação normal / possível ICMS-ST),-,,00/60/61,,"Não foi identificado dispositivo de isenção, redução, diferimento ou suspensão do RICMS-SP para este item. Muitos produtos industrializados (chocolates, biscoitos recheados, salgadinhos, sorvetes, refrigerados diversos) estão sujeitos a ICMS-ST, que dispensa cBenef na revenda (CST 60/61)."
